date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:19	393651/393651	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2014:22:18%20GMT	https://p2908yuti.editorx.io/healthriskpredictor/blank	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor/blank.html	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:20	1658/1658	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Apr%202023%2014:22:19%20GMT	https://static.wixstatic.com/media/b97d25677d684c4dab1d9783ae780039.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/b97d25677d684c4dab1d9783ae780039.jpg	C:/My%20Web%20Sites/HealthRiskPredictor/static.wixstatic.com/media/b97d25677d684c4dab1d9783ae780039.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/b97d25677d684c4dab1d9783ae780039.jpg	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:20	426388/426388	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Apr%202023%2014:22:19%20GMT	https://p2908yuti.editorx.io/healthriskpredictor/blank-2	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor/blank-2.html	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:21	1201/1201	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Apr%202023%2014:22:20%20GMT	https://static.wixstatic.com/media/ffc0d41b812946ac9f194fe20c61ed05.jpg/v1/fill/w_147,h_29,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Syringe.jpg	C:/My%20Web%20Sites/HealthRiskPredictor/static.wixstatic.com/media/ffc0d41b812946ac9f194fe20c61ed05.jpg/v1/fill/w_147,h_29,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Syringe.jpg	(from https://p2908yuti.editorx.io/healthriskpredictor)
19:52:21	1746/1746	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:21%20GMT	https://p2908yuti.editorx.io/healthriskpredictor/decodeURIComponent(e	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor/decodeURIComponent(e	(from https://p2908yuti.editorx.io/healthriskpredictor/blank)
19:52:22	1746/1746	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:22%20GMT	https://p2908yuti.editorx.io/healthriskpredictor/robots.txt	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor/robots.txt	(from https://p2908yuti.editorx.io/healthriskpredictor/blank)
19:52:22	268/268	---M--	200	added ('OK')	text/xml	date:Wed,%2005%20Apr%202023%2014:22:22%20GMT	https://p2908yuti.editorx.io/healthriskpredictor/sitemap.xml	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor/sitemap.xml	(from https://p2908yuti.editorx.io/healthriskpredictor/blank)
19:52:23	1746/1746	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Apr%202023%2014:22:23%20GMT	https://p2908yuti.editorx.io/healthriskpredictor/feed.xml	C:/My%20Web%20Sites/HealthRiskPredictor/p2908yuti.editorx.io/healthriskpredictor/feed.xml	(from https://p2908yuti.editorx.io/healthriskpredictor/blank)
19:52:24	78223/78223	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a0f9edf8bda371953aa871835797897%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.9c28ce51.bundle.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.9c28ce51.bundle.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor/blank-2)
19:52:24	2679/2679	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Apr%202023%2014:22:23%20GMT	https://static.wixstatic.com/media/11062b_64c9871f860b45b0a888f748032631d9~mv2_d_5700_3804_s_4_2.jpg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_64c9871f860b45b0a888f748032631d9~mv2_d_5700_3804_s_4_2.jpg	C:/My%20Web%20Sites/HealthRiskPredictor/static.wixstatic.com/media/11062b_64c9871f860b45b0a888f748032631d9_mv2_d_5/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_3,/11062b_64c9871f860b45b0a888f748032631d9_mv2_d_5700_3804_s_4_2.17.dela	(from https://p2908yuti.editorx.io/healthriskpredictor/blank)
19:52:24	150898/150898	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b422a56a2479e96618dd61768eed2be%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.ce16b4b6.bundle.min.js	C:/My%20Web%20Sites/HealthRiskPredictor/static.parastorage.com/services/wix-thunderbolt/dist/main.ce16b4b6.bundle.min.js	(from https://p2908yuti.editorx.io/healthriskpredictor/blank-2)
19:52:25	2039/2039	---M--	200	added ('OK')	image/jpeg	date:Wed,%2005%20Apr%202023%2014:22:24%20GMT	https://static.wixstatic.com/media/11062b_8cdac871411e456b92f90297324a0ad8~mv2.jpeg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_8cdac871411e456b92f90297324a0ad8~mv2.jpeg	C:/My%20Web%20Sites/HealthRiskPredictor/static.wixstatic.com/media/11062b_8cdac871411e456b92f90297324a0ad8_mv2.jpeg/v1/fill/w_100,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_8cdac871411e456b92f90297324a0ad8_mv2.jpg	(from https://p2908yuti.editorx.io/healthriskpredictor/blank-2)
